sample_id,site_id,lowmag_landmark_count,highmag_landmark_count,reference_width_px,reference_height_px,zoom_level
afm_ideal_scan,unlabeled_site,8,5,1024,768,1.0
afm_ideal_scan,unlabeled_site,8,5,1024,768,2.0
afm_ideal_scan,unlabeled_site,8,6,1024,768,3.0
afm_ideal_scan,unlabeled_site,8,6,1024,768,4.0
afm_ideal_scan,unlabeled_site,8,6,1024,768,5.0
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,3,1024,768,1.0
synthetic-surface,unlabeled_site,8,3,1024,768,2.0
synthetic-surface,unlabeled_site,8,6,1024,768,3.0
synthetic-surface,unlabeled_site,8,6,1024,768,4.0
synthetic-surface,unlabeled_site,8,6,1024,768,5.0
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
synthetic-surface,unlabeled_site,8,6,1024,768,0.25
