sample_id,pair_a,pair_b,dx_px,dy_px,angle_deg,confidence
afm_ideal_scan,20260816_132705_unlabeled_site,20260816_132706_unlabeled_site,286.2713623046875,243.5692901611328,-143.29373512622908,0.75
afm_ideal_scan,20260816_132705_unlabeled_site,20260816_132707_unlabeled_site,-30903.6796875,-11570.1015625,-16.31060272856446,0.5
afm_ideal_scan,20260816_132706_unlabeled_site,20260816_132707_unlabeled_site,11.70711898803711,8.988425572713215,-0.02315994417589675,0.7142857142857143
afm_ideal_scan,20260816_132706_unlabeled_site,20260816_132709_unlabeled_site,-246.45968627929688,-198.35033191499255,0.8704097459139235,0.7777777777777778
afm_ideal_scan,20260816_132707_unlabeled_site,20260816_132709_unlabeled_site,-129.41220474243164,-102.08669288271949,0.3242843884245265,1.0
synthetic-surface,20260816_132354_unlabeled_site,20260816_132658_unlabeled_site,145.5836639404297,104.76232147216797,166.91852618222444,0.6
synthetic-surface,20260816_132658_unlabeled_site,20260816_132659_unlabeled_site,-276.2704772949219,-198.0948944091797,-0.5998660062505713,0.8571428571428571
synthetic-surface,20260816_132658_unlabeled_site,20260816_132701_unlabeled_site,-349.3189697265625,-265.10207112630206,0.2569114824928001,0.5
synthetic-surface,20260816_132659_unlabeled_site,20260816_132701_unlabeled_site,-169.36305745442706,-115.29628499348958,-0.8118424746066509,1.0
synthetic-surface,20260816_132659_unlabeled_site,20260816_132702_unlabeled_site,-248.12513732910156,-184.32881770058285,-0.11419984244790084,1.0
synthetic-surface,20260816_132701_unlabeled_site,20260816_132702_unlabeled_site,-126.0860481262207,-81.65589236304874,-0.9587799073343121,0.75
synthetic-surface,20260816_132701_unlabeled_site,20260816_132703_unlabeled_site,-209.06303100585936,-153.54065551757813,-0.2622133367947431,0.8571428571428571
synthetic-surface,20260816_132702_unlabeled_site,20260816_132703_unlabeled_site,-104.4919189453125,-82.57348816304267,0.30093754786138,0.6666666666666666
synthetic-surface,20260816_132702_unlabeled_site,20260816_135631_unlabeled_site,-14567.4208984375,10178.932997305183,-48.63027411685754,0.25
synthetic-surface,20260816_132703_unlabeled_site,20260816_140430_unlabeled_site,128790.46875,123123.1640625,-172.69289104995826,0.5
synthetic-surface,20260816_135631_unlabeled_site,20260816_140430_unlabeled_site,0.10677550733089447,-0.0656207799911499,0.01159102111955006,0.715
synthetic-surface,20260816_135631_unlabeled_site,20260816_140719_unlabeled_site,-0.04802580922842026,-0.0650743842124939,-1.722626683914568e-05,0.715
synthetic-surface,20260816_140430_unlabeled_site,20260816_140719_unlabeled_site,-0.04725964739918709,-0.012399549596011639,-0.0031882890739334774,0.71
synthetic-surface,20260816_140430_unlabeled_site,20260816_141000_unlabeled_site,-0.04991640895605087,0.0074462890625,-0.003987693222110213,0.68
synthetic-surface,20260816_140719_unlabeled_site,20260816_141000_unlabeled_site,-0.019589977338910103,0.01242910698056221,-0.0012070145716365898,0.7
synthetic-surface,20260816_140719_unlabeled_site,20260816_141253_unlabeled_site,-0.010333472862839699,-0.08494289219379425,0.006281708804652194,0.67
synthetic-surface,20260816_141000_unlabeled_site,20260816_141253_unlabeled_site,0.04548296704888344,-0.0024455974344164133,0.0030265942254288436,0.71
synthetic-surface,20260816_141000_unlabeled_site,20260816_141414_unlabeled_site,0.1001129299402237,-0.0309541467577219,0.007893113180459519,0.705
synthetic-surface,20260816_141253_unlabeled_site,20260816_141414_unlabeled_site,0.11477823555469513,0.0698806643486023,0.003793241271596454,0.705
synthetic-surface,20260816_141253_unlabeled_site,20260816_141618_unlabeled_site,0.03594536334276199,0.1179385781288147,-0.005257458072337979,0.7
synthetic-surface,20260816_141414_unlabeled_site,20260816_141618_unlabeled_site,-0.03204949200153351,0.042172621935606,-0.005012648901316915,0.69
synthetic-surface,20260816_141414_unlabeled_site,20260816_141752_unlabeled_site,-0.06450510025024414,-0.018840203061699867,-0.0036683368551924905,0.68
synthetic-surface,20260816_141618_unlabeled_site,20260816_141752_unlabeled_site,0.030144216492772102,-0.04793911799788475,0.0032380205550643065,0.7
