time_s,cmd_x,cmd_y,actual_x,actual_y
0.000207,200.000,400.000,200.000,400.000
0.001132,200.000,0.000,200.000,4.131
0.052398,205.063,0.000,202.736,4.131
0.103842,210.127,0.000,206.747,4.131
0.155021,215.190,0.000,211.347,4.131
0.206831,220.253,0.000,216.219,4.131
0.257813,225.316,0.000,221.213,4.131
0.308687,230.380,0.000,226.252,4.131
0.359770,235.443,0.000,231.312,4.131
0.411214,240.506,0.000,236.375,4.131
0.462805,245.570,0.000,241.438,4.131
0.514802,250.633,0.000,246.502,4.131
0.566084,255.696,0.000,251.565,4.131
0.617372,260.759,0.000,256.628,4.131
0.668800,265.823,0.000,261.692,4.131
0.720322,270.886,0.000,266.755,4.131
0.771434,275.949,0.000,271.818,4.131
0.822705,281.013,0.000,276.882,4.131
0.875928,286.076,0.000,281.945,4.131
0.927167,291.139,0.000,287.008,4.131
0.978338,296.203,0.000,292.071,4.131
1.029641,301.266,0.000,297.135,4.131
1.080813,306.329,0.000,302.198,4.131
1.132147,311.392,0.000,307.261,4.131
1.183207,316.456,0.000,312.325,4.131
1.236646,321.519,0.000,317.388,4.131
1.287935,326.582,0.000,322.451,4.131
1.339320,331.646,0.000,327.514,4.131
1.390817,336.709,0.000,332.578,4.131
1.442008,341.772,0.000,337.641,4.131
1.493623,346.835,0.000,342.704,4.131
1.545283,351.899,0.000,347.768,4.131
1.597003,356.962,0.000,352.831,4.131
1.647979,362.025,0.000,357.894,4.131
1.699270,367.089,0.000,362.957,4.131
1.750662,372.152,0.000,368.021,4.131
1.802699,377.215,0.000,373.084,4.131
1.853761,382.278,0.000,378.147,4.131
1.904690,387.342,0.000,383.211,4.131
1.956260,392.405,0.000,388.274,4.131
2.007839,397.468,0.000,393.337,4.131
2.058937,402.532,0.000,398.401,4.131
2.110348,407.595,0.000,403.464,4.131
2.161661,412.658,0.000,408.527,4.131
2.212901,417.722,0.000,413.590,4.131
2.264132,422.785,0.000,418.654,4.131
2.315003,427.848,0.000,423.717,4.131
2.366075,432.911,0.000,428.780,4.131
2.417189,437.975,0.000,433.844,4.131
2.468347,443.038,0.000,438.907,4.131
2.519451,448.101,0.000,443.970,4.131
2.570417,453.165,0.000,449.033,4.131
2.621505,458.228,0.000,454.097,4.131
2.672468,463.291,0.000,459.160,4.131
2.723556,468.354,0.000,464.223,4.131
2.774575,473.418,0.000,469.287,4.131
2.825495,478.481,0.000,474.350,4.131
2.876782,483.544,0.000,479.413,4.131
2.927890,488.608,0.000,484.476,4.131
2.979097,493.671,0.000,489.540,4.131
3.030244,498.734,0.000,494.603,4.131
3.081038,503.797,0.000,499.666,4.131
3.131807,508.861,0.000,504.730,4.131
3.182934,513.924,0.000,509.793,4.131
3.233885,518.987,0.000,514.856,4.131
3.284761,524.051,0.000,519.919,4.131
3.335804,529.114,0.000,524.983,4.131
3.386967,534.177,0.000,530.046,4.131
3.437721,539.241,0.000,535.109,4.131
3.489443,544.304,0.000,540.173,4.131
3.540672,549.367,0.000,545.236,4.131
3.591865,554.430,0.000,550.299,4.131
3.643374,559.494,0.000,555.363,4.131
3.694917,564.557,0.000,560.426,4.131
3.746206,569.620,0.000,565.489,4.131
3.797417,574.684,0.000,570.552,4.131
3.848624,579.747,0.000,575.616,4.131
3.899800,584.810,0.000,580.679,4.131
3.951231,589.873,0.000,585.742,4.131
4.002576,594.937,0.000,590.806,4.131
4.053946,600.000,0.000,595.869,4.131
4.105106,600.000,0.000,595.869,4.131
4.156296,594.937,0.000,593.399,4.131
4.207157,589.873,0.000,590.397,4.131
4.258559,584.810,0.000,586.659,4.131
4.309443,579.747,0.000,582.374,4.131
4.360219,574.684,0.000,577.898,4.131
4.411362,569.620,0.000,573.175,4.131
4.462997,564.557,0.000,568.335,4.131
4.514044,559.494,0.000,563.431,4.131
4.565325,554.430,0.000,558.449,4.131
4.616101,549.367,0.000,553.442,4.131
4.667396,544.304,0.000,548.414,4.131
4.718531,539.241,0.000,543.364,4.131
4.769336,534.177,0.000,538.308,4.131
4.820374,529.114,0.000,533.245,4.131
4.871933,524.051,0.000,528.182,4.131
4.923284,518.987,0.000,523.118,4.131
4.974025,513.924,0.000,518.055,4.131
5.025125,508.861,0.000,512.992,4.131
5.075914,503.797,0.000,507.929,4.131
5.127255,498.734,0.000,502.865,4.131
5.178296,493.671,0.000,497.802,4.131
5.229720,488.608,0.000,492.739,4.131
5.280828,483.544,0.000,487.675,4.131
5.332130,478.481,0.000,482.612,4.131
5.383392,473.418,0.000,477.549,4.131
5.434474,468.354,0.000,472.486,4.131
5.485660,463.291,0.000,467.422,4.131
5.537373,458.228,0.000,462.359,4.131
5.588739,453.165,0.000,457.296,4.131
5.640067,448.101,0.000,452.232,4.131
5.691664,443.038,0.000,447.169,4.131
5.743177,437.975,0.000,442.106,4.131
5.794060,432.911,0.000,437.043,4.131
5.845439,427.848,0.000,431.979,4.131
5.896824,422.785,0.000,426.916,4.131
5.948495,417.722,0.000,421.853,4.131
5.999893,412.658,0.000,416.789,4.131
6.051141,407.595,0.000,411.726,4.131
6.102171,402.532,0.000,406.663,4.131
6.153950,397.468,0.000,401.599,4.131
6.205614,392.405,0.000,396.536,4.131
6.256777,387.342,0.000,391.473,4.131
6.307622,382.278,0.000,386.410,4.131
